VPNr, Trial, band, XLoc, YLoc
999,1,4,68,276
999,1,4,102,267
999,1,5,86,108
999,1,5,34,185
999,1,5,70,13
999,1,6,278,101
999,1,6,254,111
999,1,6,241,7
999,1,6,350,231
999,1,6,287,235
999,1,6,148,178
999,1,6,221,153
999,1,6,106,72
999,1,6,174,66
999,1,6,309,284
999,1,6,12,155
999,1,6,34,232
999,1,6,380,20
999,1,6,361,6
999,1,6,263,226
999,1,6,206,255
999,1,6,346,181
999,1,6,53,63
999,1,6,70,13
999,1,6,42,178
999,1,6,361,103
999,1,6,158,284
999,1,6,364,195
999,1,6,380,221
999,1,6,130,191
999,2,3,87,78
999,2,4,259,138
999,2,5,240,69
999,2,5,69,239
999,2,5,295,270
999,2,6,42,53
999,2,6,39,142
999,2,6,75,259
999,2,6,39,13
999,2,6,215,223
999,2,6,120,52
999,2,6,131,61
999,2,6,196,262
999,2,6,242,30
999,2,6,151,16
999,2,6,193,125
999,2,6,384,234
999,2,6,187,258
999,2,6,53,113
999,2,6,357,265
999,2,6,275,179
999,2,6,132,270
999,2,6,48,211
999,2,6,249,240
999,2,6,153,216
999,2,6,321,93
999,2,6,213,282
999,2,6,211,96
999,2,6,238,104
999,2,6,291,120
999,2,6,190,201
999,2,6,374,95
999,2,6,322,213
999,3,4,239,234
999,3,4,8,25
999,3,4,375,188
999,3,5,89,117
999,3,5,47,78
999,3,5,100,96
999,3,5,59,101
999,3,5,47,255
999,3,6,37,268
999,3,6,154,14
999,3,6,132,212
999,3,6,306,157
999,3,6,264,258
999,3,6,22,88
999,3,6,18,57
999,3,6,277,208
999,3,6,338,168
999,3,6,28,266
999,3,6,308,83
999,3,6,209,284
999,3,6,275,242
999,3,6,167,136
999,3,6,216,78
999,3,6,288,146
999,3,6,249,89
999,3,6,54,137
999,3,6,140,227
999,3,6,300,193
999,3,6,52,7
999,3,6,215,87
999,3,6,361,283
999,3,6,111,231
999,3,6,345,173
999,3,6,340,272
999,3,6,211,210
999,3,6,222,8
999,4,5,110,194
999,4,5,256,36
999,4,5,157,80
999,4,5,276,82
999,4,5,345,239
999,4,6,150,144
999,4,6,267,241
999,4,6,235,166
999,4,6,126,132
999,4,6,275,255
999,4,6,277,6
999,4,6,260,127
999,4,6,169,34
999,4,6,313,94
999,4,6,95,99
999,4,6,145,158
999,4,6,216,114
999,4,6,153,149
999,4,6,253,274
999,4,6,278,116
999,4,6,320,39
999,4,6,24,25
999,4,6,63,94
999,4,6,116,4
999,4,6,208,28
999,4,6,57,182
999,4,6,330,281
999,4,6,220,288
999,4,6,213,149
999,4,6,127,124
999,4,6,189,21
999,4,6,341,19
999,4,6,168,239
999,4,6,152,177
999,4,6,315,256
999,4,6,358,55
999,4,6,100,259
