VPNr, Trial, band, XLoc, YLoc
77,1,3,85,118
77,1,4,242,160
77,1,5,49,49
77,1,5,1,121
77,1,5,188,47
77,1,5,257,6
77,1,6,46,275
77,1,6,375,9
77,1,6,190,249
77,1,6,94,241
77,1,6,313,182
77,1,6,1,110
77,1,6,348,196
77,1,6,146,183
77,1,6,94,165
77,1,6,377,245
77,1,6,109,197
77,1,6,138,285
77,1,6,33,73
77,1,6,312,25
77,1,6,205,231
77,1,6,284,41
77,1,6,169,101
77,1,6,184,170
77,1,6,56,261
77,1,6,246,47
77,1,6,218,269
77,1,6,301,198
77,1,6,180,75
77,1,6,219,72
77,2,4,239,216
77,2,4,376,111
77,2,5,100,253
77,2,5,310,133
77,2,5,35,163
77,2,5,72,154
77,2,5,137,91
77,2,6,280,149
77,2,6,304,59
77,2,6,261,16
77,2,6,308,196
77,2,6,364,27
77,2,6,349,147
77,2,6,237,92
77,2,6,30,245
77,2,6,56,107
77,2,6,239,288
77,2,6,199,286
77,2,6,87,115
77,2,6,268,19
77,2,6,288,122
77,2,6,312,110
77,2,6,123,284
77,2,6,276,119
77,2,6,38,212
77,2,6,245,22
77,2,6,47,283
77,2,6,191,7
77,2,6,21,41
77,3,4,31,132
77,3,4,19,213
77,3,5,15,275
77,3,5,286,270
77,3,5,198,70
77,3,6,100,219
77,3,6,382,103
77,3,6,290,32
77,3,6,230,125
77,3,6,281,76
77,3,6,37,130
77,3,6,246,39
77,3,6,174,188
77,3,6,318,89
77,3,6,155,255
77,3,6,270,70
77,3,6,292,84
77,3,6,107,2
77,3,6,144,126
77,3,6,117,84
77,3,6,94,270
77,3,6,331,115
77,3,6,185,163
77,3,6,189,78
77,3,6,381,53
77,3,6,331,10
77,3,6,128,216
77,3,6,248,49
77,4,2,46,12
77,4,4,230,175
77,4,4,199,3
77,4,5,265,273
77,4,5,336,33
77,4,5,137,70
77,4,5,216,177
77,4,6,116,230
77,4,6,306,225
77,4,6,135,16
77,4,6,273,286
77,4,6,63,33
77,4,6,351,139
77,4,6,328,234
77,4,6,72,72
77,4,6,21,176
77,4,6,299,148
77,4,6,11,286
77,4,6,193,96
77,4,6,67,181
77,4,6,221,217
77,4,6,59,103
77,4,6,56,245
77,4,6,130,80
77,4,6,3,231
77,4,6,192,155
77,4,6,335,209
77,4,6,257,52
77,4,6,212,277
77,4,6,229,233
77,4,6,379,256
77,5,3,132,236
77,5,4,205,151
77,5,5,298,35
77,5,5,241,100
77,5,5,129,166
77,5,6,332,58
77,5,6,259,260
77,5,6,77,86
77,5,6,191,257
77,5,6,193,80
77,5,6,206,166
77,5,6,159,5
