VPNr, Trial, Amount, Image, Response, Correct, Time
77,1,30,Fische,Fische,1,2.143254e+01
77,2,29,Egypt,Egypt,1,2.048123e+00
77,3,28,Vogel,Fische,0,2.683171e+00
77,4,31,Volkspark,Volkspark,1,2.900557e+00
77,5,30,Br_Tor,Br_Tor,1,2.972701e+00
77,6,29,Sanssouci,Blumen,0,4.483076e+00
77,7,32,Sanssouci,Fenster,0,8.559759e+00
77,8,35,Fenster,Blumen,0,2.618918e+00
77,9,38,Br_Tor,Br_Tor,1,6.471955e+00
77,10,37,Lift,Blumen,0,8.490824e+00
77,11,40,Lift,Lift,1,2.449989e+00
77,12,39,Vogel,Fenster,0,2.404643e+00
77,13,42,Blumen,Fenster,0,3.187151e+00
77,14,45,Sanssouci,Sanssouci,1,3.325683e+00
77,15,44,Abend,Abend,1,2.038534e+00
77,16,43,Volkspark,Volkspark,1,5.859219e+00
77,17,42,Fenster,Fenster,1,2.622978e+00
77,18,41,Fenster,Fenster,1,1.657484e+00
77,19,40,Vogel,Br_Tor,0,4.080811e+00
77,20,43,Br_Tor,Egypt,0,7.571691e+00
77,21,46,Fenster,Fenster,1,2.470252e+00
77,22,45,Egypt,Egypt,1,2.649206e+00
77,23,44,Blumen,Blumen,1,2.194869e+00
77,24,43,Blumen,Blumen,1,1.982215e+00
77,25,42,Abend,Abend,1,2.256949e+00
77,26,41,Egypt,Egypt,1,2.092234e+00
77,27,40,Br_Tor,Br_Tor,1,2.562591e+00
77,28,39,Egypt,Egypt,1,2.200252e+00
77,29,38,Egypt,Egypt,1,1.883358e+00
77,30,37,Blumen,Blumen,1,2.174990e+00
77,31,36,Vogel,Sanssouci,0,2.380369e+00
77,32,39,Lift,Vogel,0,9.895102e+00
77,33,42,Blumen,Blumen,1,3.272095e+00
77,34,41,Vogel,Fische,0,4.138729e+00
77,35,44,Lift,Fenster,0,4.584517e+00
77,36,47,Fische,Fische,1,2.890047e+00
77,37,46,Volkspark,Volkspark,1,2.136732e+00
77,38,45,Abend,Abend,1,1.792568e+00
77,39,44,Lift,Lift,1,3.237371e+00
77,40,43,Abend,Abend,1,1.677402e+00
77,41,42,Vogel,Fische,0,3.566648e+00
77,42,45,Abend,Abend,1,2.084293e+00
77,43,44,Br_Tor,Br_Tor,1,3.022081e+00
