VPNr, Trial, Amount, Image, Response, Correct, Time
1,1,30,Aegypten,Bruecke,0,1.367438e+01
1,2,33,Fische,Fische,1,5.022671e+00
1,3,32,Berg,Vogel,0,5.405796e+00
1,4,35,Bruecke,Abend,0,7.016371e+00
1,5,38,Fenster,Blumen,0,5.370416e+00
1,6,41,Abend,Berg,0,1.545878e+01
1,7,44,Fenster,Fenster,1,2.728055e+00
1,8,43,Fische,Fische,1,1.465261e+01
1,9,42,Blumen,Blumen,1,6.526765e+00
1,10,41,Tor,Vogel,0,1.047227e+01
1,11,44,Tor,Bruecke,0,4.287853e+00
1,12,47,Tor,Allee,0,4.436360e+00
1,13,50,Bruecke,Bruecke,1,5.467865e+00
1,14,49,Fenster,Fenster,1,2.453936e+00
1,15,48,Tor,Aegypten,0,1.052684e+01
1,16,51,Aegypten,Aegypten,1,2.875814e+00
1,17,50,Vogel,Fische,0,2.839909e+00
1,18,53,Berg,Allee,0,9.846634e+00
1,19,56,Allee,Abend,0,1.801922e+01
1,20,59,Vogel,Vogel,1,7.781888e+00
1,21,58,Vogel,Bruecke,0,3.496374e+00
1,22,61,Aegypten,Aegypten,1,3.632245e+00
1,23,60,Fische,Bruecke,0,3.172470e+00
1,24,63,Bruecke,Bruecke,1,2.927701e+00
1,25,62,Tor,Fische,0,4.366077e+00
1,26,65,Allee,Vogel,0,2.768395e+00
1,27,68,Vogel,Berg,0,4.102401e+00
1,28,71,Abend,Abend,1,2.958319e+00
1,29,70,Vogel,Tor,0,5.924404e+00
1,30,73,Vogel,Allee,0,4.437963e+00
1,31,76,Berg,Berg,1,3.625696e+00
1,32,75,Fische,Fische,1,6.192302e+00
1,33,74,Bruecke,Vogel,0,4.012314e+00
1,34,77,Allee,Berg,0,2.449612e+00
1,35,80,Fenster,Fenster,1,4.989811e+00
1,36,79,Abend,Abend,1,3.297607e+00
1,37,78,Fische,Tor,0,4.170506e+00
1,38,81,Berg,Tor,0,4.371888e+00
1,39,84,Fenster,Fische,0,2.266410e+00
1,40,87,Fenster,Fenster,1,2.335894e+00
1,41,86,Vogel,Allee,0,6.802631e+00
1,42,89,Fenster,Fenster,1,3.037955e+00
1,43,88,Fenster,Fenster,1,2.365858e+00
1,44,87,Vogel,Berg,0,2.068257e+00
1,45,90,Abend,Fische,0,1.051215e+01
1,46,93,Bruecke,Bruecke,1,2.795776e+00
1,47,92,Tor,Berg,0,5.489786e+00
1,48,95,Fische,Abend,0,5.235837e+00
1,49,98,Fenster,Fenster,1,2.230087e+00
1,50,97,Fenster,Fenster,1,2.252381e+00
1,51,96,Bruecke,Bruecke,1,1.973665e+00
1,52,95,Fenster,Fenster,1,3.034322e+00
1,53,94,Aegypten,Aegypten,1,2.520208e+00
1,54,93,Allee,Tor,0,5.280018e+00
1,55,96,Blumen,Blumen,1,2.117721e+00
1,56,95,Blumen,Blumen,1,2.502319e+00
1,57,94,Abend,Abend,1,1.056276e+01
1,58,93,Vogel,Vogel,1,3.933864e+00
1,59,92,Allee,Bruecke,0,2.623687e+00
1,60,95,Bruecke,Bruecke,1,1.744050e+00
1,61,94,Aegypten,Abend,0,1.611935e+00
1,62,97,Bruecke,Bruecke,1,3.328543e+00
1,63,96,Blumen,Blumen,1,2.402311e+00
1,64,95,Bruecke,Bruecke,1,1.988439e+00
1,65,94,Abend,Vogel,0,4.058562e+00
1,66,97,Aegypten,Fenster,0,5.880179e+00
1,67,100,Blumen,Blumen,1,2.211846e+00
1,68,99,Blumen,Blumen,1,1.720362e+00
1,69,98,Aegypten,Aegypten,1,1.682077e+00
1,70,97,Abend,Fische,0,7.190224e+00
1,71,100,Fenster,Fenster,1,2.563597e+00
1,72,99,Aegypten,Aegypten,1,1.724237e+00
1,73,98,Fenster,Fenster,1,1.933943e+00
1,74,97,Berg,Allee,0,5.529990e+00
1,75,100,Berg,Allee,0,2.290050e+00
1,76,103,Fenster,Blumen,0,3.118145e+00
1,77,106,Bruecke,Bruecke,1,1.975827e+00
1,78,105,Berg,Allee,0,1.592515e+00
1,79,108,Abend,Vogel,0,2.539574e+00
1,80,111,Allee,Fische,0,3.839831e+00
1,81,114,Berg,Allee,0,2.126226e+00
1,82,117,Bruecke,Bruecke,1,1.892127e+00
1,83,116,Abend,Fische,0,3.164403e+00
1,84,119,Abend,Vogel,0,1.964331e+00
1,85,122,Vogel,Tor,0,3.360458e+00
1,86,125,Blumen,Blumen,1,2.617684e+00
1,87,124,Abend,Vogel,0,2.706531e+00
1,88,127,Aegypten,Aegypten,1,1.798499e+00
1,89,126,Abend,Vogel,0,2.116039e+00
1,90,129,Allee,Allee,1,4.236355e+00
1,91,128,Allee,Allee,1,2.209937e+00
1,92,127,Vogel,Abend,0,3.287844e+00
1,93,130,Vogel,Abend,0,2.044100e+00
1,94,133,Bruecke,Bruecke,1,2.289895e+00
1,95,132,Fenster,Fenster,1,2.035587e+00
1,96,131,Allee,Vogel,0,2.091843e+00
1,97,134,Tor,Berg,0,3.600370e+00
1,98,137,Fenster,Fenster,1,1.708453e+00
1,99,136,Berg,Allee,0,2.754426e+00
1,100,139,Abend,Vogel,0,3.748230e+00
1,101,142,Abend,Vogel,0,2.261944e+00
1,102,145,Aegypten,Aegypten,1,1.924347e+00
1,103,144,Abend,Vogel,0,1.713784e+00
1,104,147,Allee,Allee,1,2.349907e+00
1,105,146,Aegypten,Aegypten,1,1.993826e+00
1,106,145,Abend,Vogel,0,1.753613e+00
1,107,148,Blumen,Blumen,1,1.485700e+00
1,108,147,Berg,Allee,0,1.728234e+00
1,109,150,Aegypten,Bruecke,0,1.721915e+00
1,110,153,Vogel,Fenster,0,1.828557e+00
1,111,156,Abend,Fische,0,2.220310e+00
1,112,159,Abend,Abend,1,2.116082e+00
1,113,158,Abend,Abend,1,2.378444e+00
1,114,157,Fische,Fische,1,4.040670e+00
1,115,156,Fische,Fische,1,2.979771e+00
1,116,155,Allee,Tor,0,5.928518e+00
1,117,158,Vogel,Vogel,1,3.067840e+00
1,118,157,Aegypten,Aegypten,1,1.506378e+00
1,119,156,Abend,Vogel,0,6.109928e+00
1,120,159,Allee,Tor,0,5.612670e+00
1,121,162,Berg,Allee,0,2.957591e+00
1,122,165,Blumen,Blumen,1,2.716495e+00
1,123,164,Berg,Aegypten,0,2.094164e+00
1,124,167,Blumen,Blumen,1,2.149554e+00
1,125,166,Tor,Tor,1,4.759786e+00
1,126,165,Berg,Allee,0,1.796505e+00
1,127,168,Abend,Vogel,0,2.491821e+00
1,128,171,Blumen,Blumen,1,1.431938e+00
1,129,170,Fenster,Fenster,1,2.062151e+00
1,130,169,Abend,Berg,0,4.884571e+00
1,131,172,Abend,Berg,0,2.062054e+00
1,132,175,Tor,Tor,1,2.727717e+00
1,133,174,Fenster,Fenster,1,1.703618e+00
1,134,173,Berg,Allee,0,1.804017e+00
1,135,176,Blumen,Blumen,1,1.642450e+00
1,136,175,Blumen,Blumen,1,1.633711e+00
1,137,174,Allee,Vogel,0,5.578056e+00
1,138,177,Fenster,Fenster,1,1.898471e+00
1,139,176,Aegypten,Aegypten,1,1.851904e+00
1,140,175,Aegypten,Aegypten,1,1.886382e+00
1,141,174,Blumen,Blumen,1,2.015722e+00
1,142,173,Fenster,Fenster,1,1.396443e+00
1,143,172,Bruecke,Bruecke,1,2.137985e+00
1,144,171,Vogel,Fische,0,2.510092e+00
1,145,174,Bruecke,Bruecke,1,1.595974e+00
1,146,173,Aegypten,Aegypten,1,1.734227e+00
1,147,172,Fenster,Fenster,1,1.744267e+00
1,148,171,Fische,Fische,1,2.615657e+00
1,149,170,Aegypten,Aegypten,1,1.654409e+00
1,150,169,Allee,Berg,0,4.626245e+00
1,151,172,Tor,Tor,1,2.558399e+00
1,152,171,Bruecke,Bruecke,1,1.845684e+00
1,153,170,Bruecke,Bruecke,1,1.506165e+00
1,154,169,Allee,Berg,0,3.210095e+00
1,155,172,Tor,Tor,1,3.542155e+00
1,156,171,Allee,Vogel,0,3.025902e+00
1,157,174,Fische,Fische,1,1.506120e+00
1,158,173,Fische,Fische,1,1.695758e+00
1,159,172,Berg,Abend,0,3.512382e+00
1,160,175,Berg,Allee,0,2.690133e+00
1,161,178,Berg,Allee,0,2.692389e+00
1,162,181,Tor,Tor,1,2.433802e+00
1,163,180,Berg,Allee,0,2.240296e+00
1,164,183,Bruecke,Bruecke,1,1.816516e+00
1,165,182,Fenster,Fenster,1,1.684507e+00
1,166,181,Fenster,Fenster,1,1.517851e+00
1,167,180,Aegypten,Aegypten,1,1.645940e+00
1,168,179,Tor,Tor,1,2.679651e+00
1,169,178,Fische,Fische,1,2.331760e+00
1,170,177,Tor,Tor,1,1.970158e+00
1,171,176,Berg,Allee,0,1.984016e+00
1,172,179,Vogel,Vogel,1,3.816406e+00
1,173,178,Berg,Allee,0,2.086454e+00
1,174,181,Fenster,Fenster,1,1.763839e+00
1,175,180,Vogel,Vogel,1,3.949731e+00
1,176,179,Bruecke,Abend,0,6.778356e+00
